Frame,Name,X,Y,Z,Score
138,RIGHT_KNEE,0.712356448,0.567957163,-0.086227946,0.938070893
138,LEFT_ANKLE,0.814233124,0.685506403,0.023199698,0.918054879
138,RIGHT_ANKLE,0.68577683,0.631679416,0.057199322,0.927687109
138,LEFT_HEEL,0.813497663,0.698167264,0.033637263,0.856976092
138,RIGHT_HEEL,0.686010242,0.642123044,0.069350764,0.801930368
138,LEFT_FOOT_INDEX,0.833510101,0.717060089,-0.036768179,0.877066553
138,RIGHT_FOOT_INDEX,0.669695497,0.661881864,0.001568207,0.857325494
3535,LEFT_HIP,0.312614501,0.62214607,-0.033004738,0.999530911
3535,RIGHT_HIP,0.292275876,0.640063703,0.033001341,0.999349058
3535,LEFT_KNEE,0.325707614,0.702973962,-0.04562933,0.91299516
3535,RIGHT_KNEE,0.260640979,0.72546494,0.001697094,0.811174691
3535,LEFT_ANKLE,0.310459644,0.76385802,0.10451071,0.869631469
3535,RIGHT_ANKLE,0.264781535,0.779150724,0.126326814,0.854107916
3535,LEFT_HEEL,0.306221277,0.768525779,0.117552817,0.802884221
3535,RIGHT_HEEL,0.268860787,0.783738196,0.137963265,0.801296353
3535,LEFT_FOOT_INDEX,0.308585882,0.788098395,0.077595547,0.853922427
3535,RIGHT_FOOT_INDEX,0.253810376,0.810760438,0.104804799,0.855742097
3536,LEFT_HIP,0.308546573,0.607393265,-0.017385783,0.999535322
3536,RIGHT_HIP,0.292172372,0.627247095,0.017331958,0.999367833
3536,LEFT_KNEE,0.331772178,0.671771288,-0.035368882,0.916766465
3536,RIGHT_KNEE,0.293962985,0.702151179,0.002403867,0.81591773
3536,LEFT_ANKLE,0.315640032,0.755199611,0.081007317,0.872801542
3536,RIGHT_ANKLE,0.293130338,0.778687537,0.115555108,0.861441672
3536,LEFT_HEEL,0.311032742,0.762952089,0.090980656,0.808395088
3536,RIGHT_HEEL,0.293773502,0.783830166,0.123732433,0.809654474
3536,LEFT_FOOT_INDEX,0.314391851,0.786598861,0.053558607,0.857893705
3536,RIGHT_FOOT_INDEX,0.288087875,0.810788393,0.074999668,0.863000035
3537,LEFT_HIP,0.304634988,0.607651174,-0.000260489,0.999494493
3537,RIGHT_HIP,0.289012462,0.627606273,0.000199199,0.999376953
3537,LEFT_KNEE,0.331715047,0.650282979,-0.008192168,0.921843052
3537,RIGHT_KNEE,0.292776972,0.692904055,-0.010606576,0.831221282
3537,LEFT_ANKLE,0.312119961,0.733934939,0.095296659,0.879523575
3537,RIGHT_ANKLE,0.285460025,0.77538538,0.08039467,0.873392999
3537,LEFT_HEEL,0.30463174,0.74170506,0.104357943,0.818301678
3537,RIGHT_HEEL,0.282728314,0.78094244,0.088280559,0.824263275
3537,LEFT_FOOT_INDEX,0.313479811,0.766777098,0.072823606,0.865049183
3537,RIGHT_FOOT_INDEX,0.283906668,0.810763061,0.051555723,0.873911023
3539,LEFT_HIP,0.30043754,0.591400743,0.017309824,0.99943018
3539,RIGHT_HIP,0.276522011,0.614915907,-0.017326336,0.999345541
3539,LEFT_KNEE,0.330830157,0.617043376,-0.14683637,0.933383703
3539,RIGHT_KNEE,0.274477631,0.681063056,-0.188026875,0.813220322
3539,LEFT_ANKLE,0.307443947,0.723578215,-0.04733425,0.895932198
3539,RIGHT_ANKLE,0.279933959,0.757863045,-0.09696234,0.85835284
3539,LEFT_HEEL,0.29925555,0.735635102,-0.037560958,0.845736265
3539,RIGHT_HEEL,0.280929238,0.763380349,-0.088189684,0.820825219
3539,LEFT_FOOT_INDEX,0.309923172,0.760166109,-0.07984972,0.884019494
3539,RIGHT_FOOT_INDEX,0.281508118,0.803031087,-0.133119449,0.864299417
3564,LEFT_HIP,0.279845953,0.473660618,-0.006133535,0.999442101
3564,RIGHT_HIP,0.297653973,0.473497987,0.00615205,0.999423265
3564,LEFT_KNEE,0.263015836,0.41392979,-0.042341288,0.893039405
3564,RIGHT_KNEE,0.309940279,0.443991333,-0.064365566,0.813356221
3564,LEFT_ANKLE,0.256488502,0.351040006,0.006542091,0.86204958
